--- RECORD COUNTS PER DATE AND MESS ---
2026-02-16 | Mess: [Mess A] | Meal: [lunch] | Qual: [Good] | Count: 1
2026-02-13 | Mess: [Mess A] | Meal: [breakfast] | Qual: [Bad] | Count: 16
2026-02-13 | Mess: [Mess A] | Meal: [dinner] | Qual: [Bad] | Count: 22
2026-02-13 | Mess: [Mess A] | Meal: [dinner] | Qual: [Good] | Count: 20
2026-02-13 | Mess: [Mess B] | Meal: [breakfast] | Qual: [Good] | Count: 16
2026-02-13 | Mess: [Mess B] | Meal: [lunch] | Qual: [Bad] | Count: 20
2026-02-13 | Mess: [Mess B] | Meal: [lunch] | Qual: [Good] | Count: 22
2026-02-12 | Mess: [Mess A] | Meal: [lunch] | Qual: [Bad] | Count: 20
2026-02-12 | Mess: [Mess A] | Meal: [lunch] | Qual: [Good] | Count: 38
2026-02-12 | Mess: [Mess B] | Meal: [breakfast] | Qual: [Bad] | Count: 20
2026-02-12 | Mess: [Mess B] | Meal: [breakfast] | Qual: [Good] | Count: 54
2026-02-12 | Mess: [Mess B] | Meal: [dinner] | Qual: [Bad] | Count: 38
2026-02-12 | Mess: [Mess B] | Meal: [dinner] | Qual: [Good] | Count: 20
2026-02-11 | Mess: [Mess A] | Meal: [breakfast] | Qual: [Bad] | Count: 38
2026-02-11 | Mess: [Mess A] | Meal: [breakfast] | Qual: [Good] | Count: 20
2026-02-11 | Mess: [Mess A] | Meal: [lunch] | Qual: [Bad] | Count: 38
2026-02-11 | Mess: [Mess A] | Meal: [lunch] | Qual: [Good] | Count: 20
2026-02-11 | Mess: [Mess B] | Meal: [dinner] | Qual: [Bad] | Count: 20
2026-02-11 | Mess: [Mess B] | Meal: [dinner] | Qual: [Good] | Count: 38
2026-02-10 | Mess: [Mess A] | Meal: [breakfast] | Qual: [Bad] | Count: 20
2026-02-10 | Mess: [Mess A] | Meal: [breakfast] | Qual: [Good] | Count: 38
2026-02-10 | Mess: [Mess A] | Meal: [lunch] | Qual: [Bad] | Count: 38
2026-02-10 | Mess: [Mess A] | Meal: [lunch] | Qual: [Good] | Count: 20
2026-02-10 | Mess: [Mess A] | Meal: [dinner] | Qual: [Bad] | Count: 20
2026-02-10 | Mess: [Mess A] | Meal: [dinner] | Qual: [Good] | Count: 38
2026-02-10 | Mess: [Mess B] | Meal: [breakfast] | Qual: [Bad] | Count: 38
2026-02-10 | Mess: [Mess B] | Meal: [breakfast] | Qual: [Good] | Count: 20
2026-02-10 | Mess: [Mess B] | Meal: [lunch] | Qual: [Bad] | Count: 20
2026-02-10 | Mess: [Mess B] | Meal: [lunch] | Qual: [Good] | Count: 38
2026-02-10 | Mess: [Mess B] | Meal: [dinner] | Qual: [Bad] | Count: 38
2026-02-10 | Mess: [Mess B] | Meal: [dinner] | Qual: [Good] | Count: 20
2026-02-09 | Mess: [Mess A] | Meal: [breakfast] | Qual: [Bad] | Count: 38
2026-02-09 | Mess: [Mess A] | Meal: [breakfast] | Qual: [Good] | Count: 58
2026-02-09 | Mess: [Mess A] | Meal: [lunch] | Qual: [Bad] | Count: 58
2026-02-09 | Mess: [Mess A] | Meal: [lunch] | Qual: [Good] | Count: 38
2026-02-09 | Mess: [Mess A] | Meal: [dinner] | Qual: [Bad] | Count: 38
2026-02-09 | Mess: [Mess A] | Meal: [dinner] | Qual: [Good] | Count: 58
2026-02-09 | Mess: [Mess B] | Meal: [breakfast] | Qual: [Bad] | Count: 20
2026-02-09 | Mess: [Mess B] | Meal: [breakfast] | Qual: [Good] | Count: 38
2026-02-09 | Mess: [Mess B] | Meal: [lunch] | Qual: [Bad] | Count: 38
2026-02-09 | Mess: [Mess B] | Meal: [lunch] | Qual: [Good] | Count: 20
2026-02-09 | Mess: [Mess B] | Meal: [dinner] | Qual: [Bad] | Count: 20
2026-02-09 | Mess: [Mess B] | Meal: [dinner] | Qual: [Good] | Count: 38
