Found 1291 records.

ID: 1 | Date: 2026-02-16T18:30:00.000Z | Mess: [Mess A] | Meal: [lunch] | Quality: [Good]
ID: 20 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 21 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 40 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 41 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 60 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 61 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 80 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 81 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 100 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 101 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 120 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 121 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 140 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 141 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
ID: 160 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess A] | Meal: [dinner] | Quality: [Good]
ID: 161 | Date: 2026-02-13T18:30:00.000Z | Mess: [Mess B] | Meal: [lunch] | Quality: [Bad]
